question;intention;cypher
Qual é o bairro com petshops que tem uma área maior que 10 km²?;list_nodes;MATCH (n:Neighborhood)-[:CONTAINS]->(p:Place {type: 'pet_store'}) WHERE n.area_km2 > 10 RETURN n.name
Liste os petshops do bairro Jardim em ordem alfabética;list_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name ORDER BY p.name
Mostre apenas os 5 primeiros petshops do bairro Jardim;list_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name LIMIT 5
Quantos petshops existem no bairro Jardim?;list_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN COUNT(p) AS total_petshops
Qual é a soma de reviews de todos os petshops do bairro Jardim?;list_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'})-[:HAS_REVIEW]->(r:Review) RETURN SUM(r.rating) AS total_reviews
Qual é a média de rating dos petshops do bairro Jardim?;list_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN AVG(p.rating) AS avg_rating
Qual é o petshop com menor rating no bairro Jardim?;list_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name, p.rating ORDER BY p.rating ASC LIMIT 1
Qual é o petshop com maior rating no bairro Jardim?;list_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name, p.rating ORDER BY p.rating DESC LIMIT 1
Liste os petshops do bairro Jardim;list_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name
Qual é o petshop com maior rating no bairro Centro?;list_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name, p.rating ORDER BY p.rating DESC LIMIT 1
Liste os petshops do bairro Centro em ordem alfabética;list_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name ORDER BY p.name
Mostre apenas os 5 primeiros petshops do bairro Centro;list_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name LIMIT 5
Quantos petshops existem no bairro Centro?;list_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN COUNT(p) AS total_petshops
Qual é a soma de reviews de todos os petshops localizados no bairro Centro?;list_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN SUM(p.num_reviews) AS total_reviews
Qual é a média de rating dos petshops localizados no bairro Centro?;list_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN AVG(p.rating) AS avg_rating
Qual petshop com menor rating está localizado no bairro Centro?;list_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name, p.rating ORDER BY p.rating ASC LIMIT 1
Qual petshop com maior rating está localizado no bairro Centro?;list_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name, p.rating ORDER BY p.rating DESC LIMIT 1
Quais petshops estão localizados no bairro Centro?;list_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name
Qual é o nome dos bairros que têm área maior que 10 km²?;list_nodes;MATCH (n:Neighborhood) WHERE n.area_km2 > 10 RETURN n.name
Liste todos os bairros cadastrados em ordem alfabética;list_nodes;MATCH (n:Neighborhood) RETURN n.name ORDER BY n.name
Mostre apenas os primeiros 5 bairros cadastrados;list_nodes;MATCH (n:Neighborhood) RETURN n.name LIMIT 5
Quantos bairros estão cadastrados?;list_nodes;MATCH (n:Neighborhood) RETURN COUNT(n) AS total_neighborhoods
Qual é a soma de áreas de todos os bairros cadastrados?;list_nodes;MATCH (n:Neighborhood) RETURN SUM(n.area_km2) AS total_area
Qual é a média de área dos bairros cadastrados?;list_nodes;MATCH (n:Neighborhood) RETURN AVG(n.area_km2) AS avg_area
Qual é o bairro com menor área cadastrado?;list_nodes;MATCH (n:Neighborhood) RETURN n.name, n.area_km2 ORDER BY n.area_km2 ASC LIMIT 1
Qual é o bairro com maior área no cadastro?;list_nodes;MATCH (n:Neighborhood) RETURN n.name, n.area_km2 ORDER BY n.area_km2 DESC LIMIT 1
Liste todos os bairros cadastrados;list_nodes;MATCH (n:Neighborhood) RETURN n.name
Quais os petshops localizados na Avenida Dom Pedro II que estão em bairros com população maior que 1000 habitantes?;list_nodes;MATCH (s:Road {name: 'Avenida Dom Pedro II'})-[:CONTAINS]->(n:Neighborhood)-[:CONTAINS]->(p:Place {type: 'pet_store'}) WHERE n.population > 1000 RETURN p.name
Liste os petshops localizados na Avenida Dom Pedro II em ordem alfabética;list_nodes;MATCH (s:Road {name: 'Avenida Dom Pedro II'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name ORDER BY p.name
Mostre os 5 primeiros petshops localizados na Avenida Dom Pedro II;list_nodes;MATCH (s:Road {name: 'Avenida Dom Pedro II'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name LIMIT 5
Quantos petshops existem na Avenida Dom Pedro II?;list_nodes;MATCH (s:Road {name: 'Avenida Dom Pedro II'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN COUNT(p) AS total_petshops
Qual é a soma de reviews de todos os petshops localizados na Avenida Dom Pedro II?;list_nodes;MATCH (s:Road {name: 'Avenida Dom Pedro II'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN SUM(p.num_reviews) AS total_reviews
Qual é a média de rating dos petshops localizados na Avenida Dom Pedro II?;list_nodes;MATCH (s:Road {name: 'Avenida Dom Pedro II'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN AVG(p.rating) AS avg_rating
Qual é o petshop com menor rating localizado na Avenida Dom Pedro II?;list_nodes;MATCH (s:Road {name: 'Avenida Dom Pedro II'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name, p.rating ORDER BY p.rating ASC LIMIT 1
Qual é o petshop com maior rating localizado na Avenida Dom Pedro II?;list_nodes;MATCH (s:Road {name: 'Avenida Dom Pedro II'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name, p.rating ORDER BY p.rating DESC LIMIT 1
Quais os petshops localizados na Avenida Dom Pedro II?;list_nodes;MATCH (s:Road {name: 'Avenida Dom Pedro II'})-[:CONTAINS]->(p:Place {type: 'pet_store'})RETURN p.name
Qual é a lista de petshops do bairro Vila Bastos com nota acima de 4?;filter_nodes;MATCH (n:Neighborhood {name: 'Vila Bastos'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) WHERE p.rating > 4 RETURN p.name, p.rating
Liste os petshops do bairro Vila Bastos em ordem decrescente de nota;filter_nodes;MATCH (n:Neighborhood {name: 'Vila Bastos'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) WHERE p.rating > 4 RETURN p.name, p.rating ORDER BY p.rating DESC
Mostre os 5 petshops do bairro Vila Bastos com nota maior que 4;filter_nodes;MATCH (n:Neighborhood {name: 'Vila Bastos'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) WHERE p.rating > 4 RETURN p.name, p.rating LIMIT 5
Quantos petshops existem no bairro Vila Bastos com nota maior que 4?;filter_nodes;MATCH (n:Neighborhood {name: 'Vila Bastos'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) WHERE p.rating > 4 RETURN COUNT(p) AS total_petshops
Qual é a soma de notas dos petshops do bairro Vila Bastos?;filter_nodes;MATCH (n:Neighborhood {name: 'Vila Bastos'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN SUM(p.rating) AS total_rating
Qual é a média de nota dos petshops do bairro Vila Bastos?;filter_nodes;MATCH (n:Neighborhood {name: 'Vila Bastos'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) WHERE p.rating > 4 RETURN AVG(p.rating) AS avg_rating
Qual é o petshop com menor nota no bairro Vila Bastos?;filter_nodes;MATCH (n:Neighborhood {name: 'Vila Bastos'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) WHERE p.rating > 4 RETURN p.name, MIN(p.rating) AS min_rating
Qual é o petshop com a maior nota no bairro Vila Bastos?;filter_nodes;MATCH (n:Neighborhood {name: 'Vila Bastos'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name, MAX(p.rating) AS max_rating
Liste os petshops do bairro Vila Bastos com nota maior que 4;filter_nodes;MATCH (n:Neighborhood {name: 'Vila Bastos'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) WHERE p.rating > 4 RETURN p.name, p.rating
Qual é o nome das veterinárias do bairro Campestre que possuem mais de 10 avaliações?;filter_nodes;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place {type: 'veterinary_care'}) WHERE p.num_reviews > 10 RETURN p.name
Liste as veterinárias do bairro Campestre com mais de 10 reviews em ordem decrescente de número de reviews;filter_nodes;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place {type: 'veterinary_care'}) WHERE p.num_reviews > 10 RETURN p.name, p.num_reviews ORDER BY p.num_reviews DESC
Mostre as 5 primeiras veterinárias do bairro Campestre com mais de 10 reviews;filter_nodes;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place {type: 'veterinary_care'}) WHERE p.num_reviews > 10 RETURN p.name, p.num_reviews LIMIT 5
Quantas veterinárias existem no bairro Campestre com mais de 10 reviews?;filter_nodes;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place {type: 'veterinary_care'}) WHERE p.num_reviews > 10 RETURN COUNT(p) AS total_veterinarias
Qual é a soma de reviews de todas as veterinárias do bairro Campestre?;filter_nodes;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place {type: 'veterinary_care'}) RETURN SUM(p.num_reviews) AS total_reviews
Qual é a média de reviews das veterinárias do bairro Campestre?;filter_nodes;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place {type: 'veterinary_care'}) RETURN AVG(p.num_reviews) AS avg_reviews
Qual é a menor quantidade de reviews de uma veterinária do bairro Campestre?;filter_nodes;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place {type: 'veterinary_care'}) RETURN MIN(p.num_reviews) AS min_reviews
Qual é a veterinária do bairro Campestre com mais reviews?;filter_nodes;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place {type: 'veterinary_care'}) RETURN p.name, MAX(p.num_reviews) AS max_reviews
Quais veterinárias do bairro Campestre possuem mais de 10 reviews?;filter_nodes;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place {type: 'veterinary_care'}) WHERE p.num_reviews > 10 RETURN p.name, p.num_reviews
Qual é a população dos bairros com mais de 10.000 habitantes?;filter_nodes;MATCH (n:Neighborhood) WHERE n.total_resident_population > 10000 RETURN n.name, n.total_resident_population
Liste os bairros com população maior que 10.000 habitantes em ordem decrescente de população;filter_nodes;MATCH (n:Neighborhood) WHERE n.total_resident_population > 10000 RETURN n.name, n.total_resident_population ORDER BY n.total_resident_population DESC
Mostre os 5 bairros com população maior que 10.000 habitantes;filter_nodes;MATCH (n:Neighborhood) WHERE n.total_resident_population > 10000 RETURN n.name, n.total_resident_population LIMIT 5
Quantos bairros têm população maior que 10.000 habitantes?;filter_nodes;MATCH (n:Neighborhood) WHERE n.total_resident_population > 10000 RETURN COUNT(n) AS total_bairros
Qual é a soma da população de todos os bairros com população maior que 10.000 habitantes?;filter_nodes;MATCH (n:Neighborhood) WHERE n.total_resident_population > 10000 RETURN SUM(n.total_resident_population) AS total_population
Qual é a média de população dos bairros com mais de 10.000 habitantes?;filter_nodes;MATCH (n:Neighborhood) WHERE n.total_resident_population > 10000 RETURN AVG(n.total_resident_population) AS avg_population
Qual é o bairro com menor população no bairro com população maior que 10.000 habitantes?;filter_nodes;MATCH (n:Neighborhood) WHERE n.total_resident_population > 10000 RETURN n.name, n.total_resident_population ORDER BY n.total_resident_population ASC LIMIT 1
Qual é o bairro com maior população no bairro Jardim?;filter_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place) RETURN MAX(n.total_resident_population) AS max_population
Liste os bairros com população maior que 10.000 habitantes;filter_nodes;MATCH (n:Neighborhood) WHERE n.total_resident_population > 10000 RETURN n.name, n.total_resident_population
Quantos petshops existem no bairro Jardim, considerando apenas os bairros com população maior que 1000 habitantes?;aggregate_nodes;MATCH (n:Neighborhood {population: 1000})-[:CONTAINS]->(p:Place {type: 'pet_store'}) WHERE n.name = 'Jardim' RETURN COUNT(p) AS total_petshops
Liste os petshops do bairro Jardim em ordem crescente de quantidade;aggregate_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN COUNT(p) AS total_petshops ORDER BY total_petshops
